Inference for Stan model: ACNQSRR101_model
4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved.
Warmup took (17843, 16651, 16844, 17598) seconds, 19 hours total
Sampling took (15824, 16193, 15319, 15923) seconds, 18 hours total
                        Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
param[23,1]         6.6e+000 5.9e-002 8.7e-001  5.5e+000  6.4e+000  8.3e+000 2.2e+002 3.5e-003 1.0e+000
param[23,2]        -6.3e-001 4.3e-003 7.9e-002 -7.8e-001 -6.3e-001 -5.1e-001 3.3e+002 5.2e-003 1.0e+000
param[23,3]         5.0e-001 6.7e-003 1.0e-001  3.5e-001  4.8e-001  6.9e-001 2.3e+002 3.7e-003 1.0e+000
param[24,1]         4.6e+000 9.9e-003 2.1e-001  4.3e+000  4.6e+000  4.9e+000 4.7e+002 7.5e-003 1.0e+000
param[24,2]        -9.0e-001 1.3e-003 2.9e-002 -9.4e-001 -9.0e-001 -8.4e-001 5.1e+002 8.1e-003 1.0e+000
param[24,3]         5.1e-001 2.1e-003 4.3e-002  4.4e-001  5.1e-001  5.8e-001 4.3e+002 6.9e-003 1.0e+000
param[25,1]         5.4e+000 1.5e-002 3.1e-001  4.9e+000  5.4e+000  5.9e+000 4.2e+002 6.6e-003 1.0e+000
param[25,2]        -1.0e+000 8.9e-004 1.9e-002 -1.0e+000 -1.0e+000 -9.7e-001 4.7e+002 7.4e-003 1.0e+000
param[25,3]         6.3e-001 2.2e-003 4.5e-002  5.6e-001  6.3e-001  7.1e-001 4.0e+002 6.3e-003 1.0e+000
param[26,1]         5.4e+000 2.2e-002 4.2e-001  4.7e+000  5.4e+000  6.1e+000 3.7e+002 5.8e-003 1.0e+000
param[26,2]        -7.1e-001 7.8e-004 1.8e-002 -7.4e-001 -7.1e-001 -6.8e-001 5.3e+002 8.4e-003 1.0e+000
param[26,3]         4.9e-001 3.3e-003 6.0e-002  3.8e-001  4.9e-001  5.8e-001 3.4e+002 5.3e-003 1.0e+000
param[27,1]         5.8e+000 3.5e-002 6.1e-001  4.9e+000  5.7e+000  6.9e+000 3.1e+002 5.0e-003 1.0e+000
param[27,2]        -6.3e-001 1.4e-003 2.9e-002 -6.7e-001 -6.4e-001 -5.8e-001 3.9e+002 6.2e-003 1.0e+000
param[27,3]         5.7e-001 4.2e-003 7.5e-002  4.5e-001  5.6e-001  7.0e-001 3.1e+002 5.0e-003 1.0e+000
param[28,1]         6.8e+000 3.1e-002 6.0e-001  6.0e+000  6.7e+000  7.9e+000 3.8e+002 6.0e-003 1.0e+000
param[28,2]        -6.4e-001 1.7e-003 3.6e-002 -6.9e-001 -6.4e-001 -5.7e-001 4.2e+002 6.7e-003 1.0e+000
param[28,3]         5.8e-001 3.4e-003 6.6e-002  4.8e-001  5.8e-001  7.0e-001 3.8e+002 6.1e-003 1.0e+000
param[29,1]         5.3e+000 1.2e-002 2.3e-001  4.9e+000  5.2e+000  5.7e+000 3.5e+002 5.6e-003 1.0e+000
param[29,2]        -1.1e+000 8.3e-004 1.7e-002 -1.1e+000 -1.1e+000 -1.1e+000 4.4e+002 6.9e-003 1.0e+000
param[29,3]         5.9e-001 1.8e-003 3.3e-002  5.4e-001  5.9e-001  6.4e-001 3.4e+002 5.4e-003 1.0e+000
param[30,1]         5.6e+000 1.5e-002 3.2e-001  5.1e+000  5.7e+000  6.1e+000 4.4e+002 7.0e-003 1.0e+000
param[30,2]        -8.5e-001 6.1e-004 1.5e-002 -8.7e-001 -8.5e-001 -8.3e-001 6.5e+002 1.0e-002 1.0e+000
param[30,3]         6.5e-001 2.1e-003 4.4e-002  5.7e-001  6.5e-001  7.1e-001 4.2e+002 6.6e-003 1.0e+000
param[31,1]         2.9e+000 3.1e-003 6.8e-002  2.8e+000  2.9e+000  3.1e+000 4.8e+002 7.6e-003 1.0e+000
param[31,2]        -5.9e-001 6.9e-004 1.8e-002 -6.3e-001 -5.9e-001 -5.7e-001 6.9e+002 1.1e-002 1.0e+000
param[31,3]         5.2e-001 1.1e-003 2.5e-002  4.8e-001  5.2e-001  5.6e-001 4.8e+002 7.6e-003 1.0e+000
param[32,1]         1.9e+000 3.1e-003 6.1e-002  1.9e+000  1.9e+000  2.0e+000 3.9e+002 6.1e-003 1.0e+000
param[32,2]        -8.7e-001 4.8e-004 1.2e-002 -8.9e-001 -8.7e-001 -8.5e-001 6.5e+002 1.0e-002 1.0e+000
param[32,3]         5.6e-001 1.3e-003 2.7e-002  5.2e-001  5.6e-001  6.1e-001 4.0e+002 6.3e-003 1.0e+000
param[33,1]         1.6e+000 1.8e-003 4.1e-002  1.5e+000  1.6e+000  1.7e+000 5.3e+002 8.4e-003 1.0e+000
param[33,2]        -1.0e+000 1.0e-003 2.4e-002 -1.1e+000 -1.0e+000 -9.8e-001 5.4e+002 8.6e-003 1.0e+000
param[33,3]         4.9e-001 1.7e-003 3.5e-002  4.3e-001  4.9e-001  5.5e-001 4.5e+002 7.1e-003 1.0e+000
param[34,1]         2.5e+000 1.5e-003 3.5e-002  2.4e+000  2.5e+000  2.6e+000 5.5e+002 8.7e-003 1.0e+000
param[34,2]        -9.3e-001 1.9e-003 4.3e-002 -9.9e-001 -9.3e-001 -8.5e-001 5.2e+002 8.2e-003 1.0e+000
param[34,3]         9.3e-002 1.8e-003 3.8e-002  3.5e-002  9.0e-002  1.6e-001 4.7e+002 7.4e-003 1.0e+000
